"שם מוצר","מק""ט",כמות,"יחידת מידה","האם מגיע במארז","צורת מארז","יחידת מידה במארז","מספר פריטים במארז",קטגוריה,ספק,"מחיר מחירון","אחוז הנחה",פיקדון,מיסים,"מוצר חייב במע""מ","צורת ספירת מלאי","ברקוד יצרן","הגבלת כמות להזמנה"
"שום מקולף",10192,1,"ק""ג",לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",30,0,0,,לא,מוצר,,
"שמן קנולה 5 ליטר אגרופרודקט",8901286,5,ליטר,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",35,0,0,,כן,מוצר,,
"זיתי קלמטה חצוי ק״ג פח אדו",2333,10,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",256,0,0,,כן,מוצר,,
"גביע נייר קראפת 12oz קוטר 90 500 יח",965,500,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,145,0,0,,כן,מוצר,,
"מכסה pp לגביענייר קראפט 12/8 oz קוטר 90 500 יח",966,500,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,85,0,0,,כן,מוצר,,
"חיטוי פירות וירקות פרו מקס 5 סאסא 10 ק״ג",601403,10,ליטר,לא,,,1,"חד פעמי ואריזות",סילקו,78.8,0,0,,כן,מוצר,,
"דגש מרקי תיבול מרק בטעם עוף מופ",7290000116204,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",18.65,0,0,,כן,מוצר,,
"שקית מנה בורגר 2*1000 the x & crispy",722235364,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.12,0,0,0,כן,מוצר,,
"קופסת סלט 20 אוז עגולה עם מכסה לחם 6*6",35411,300,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.7,0,0,0,כן,מוצר,,
"פלפל שחור טחון 1 ק״ג נפטון",s600,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",57,0,0,0,כן,מוצר,,
"מיונז הלמנס לחיץ 323 גרם",7290116537405,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",11,0,0,,כן,מוצר,,
"אורגנו 1 ק״ג",so45,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",19.5,0,0,0,כן,מוצר,,
"מיונז היינץ לחיץ",d370,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",13.99,0,0,0,כן,מוצר,,
"רוטב אלף האיים קנור",d685,6,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","יהודה אלקנה",92,0,0,0,כן,מוצר,,
"אורגנו יבש 1 ק״ג - נווה",102100,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",25.64,0,0,,כן,מוצר,,
"קטשופ היינץ 700 גרם",2566876,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",11.76,0,0,,כן,מוצר,,
"שמן חמניות 5 ליטר שוקחה",1201104,5,ליטר,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",35,0,0,,כן,מוצר,,
"חסה אייסברג להמבורגר 1",41004,1,"ק""ג",לא,,,1,"ירקות פירות ועשבי תיבול","עונות ישראל",9.5,0,0,0,כן,מוצר,,
"פפריקה מתוקה מעושנת 1 ק",811250033270,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",24.99,0,0,,כן,מוצר,,
"רוטב צ׳ילי מתוק 5 ק״ג - מקסצ׳אפ",8858271008506,5,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",62,0,0,,כן,מוצר,,
"קוביות פילה עוף 15-20 גרם טרי",10042,1,"ק""ג",לא,,,1,בשר,"אק.סי.לנס מייט בע״מ",33,0,0,,כן,מוצר,,
"אסאדו עגלה מפורק בלי עצם קפוא",30070,1,"ק""ג",לא,,,1,בשר,"אק.סי.לנס מייט בע״מ",45,0,0,,כן,מוצר,,
"כנף עוף חצוי טרי",10013,1,"ק""ג",לא,,,1,בשר,"אק.סי.לנס מייט בע״מ",14,0,0,,כן,מוצר,,
"פילה עוף טרי",1005,1,"ק""ג",לא,,,1,בשר,"אק.סי.לנס מייט בע״מ",33,0,0,,כן,מוצר,,
"דובדבני אמרנה בסירופ 1 ק״ג",1871,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",39.32,0,0,,כן,מוצר,,
"חלב 3% תנובה - 1 ליטר",4131074,1,ליטר,לא,,,1,"מוצרי חלב וגבינות","מנטור פוד בעמ",6.36,0,0,,כן,מוצר,,
"יוגורט תנובה כד 1.5 ליטר 4%",7290000043944,1.5,ליטר,לא,,,1,"מוצרי חלב וגבינות","מנטור פוד בעמ",15,0,0,,כן,מוצר,,
"מדבקות טרמיות 46/75 לבנות (5*500) 2500 יח",677087,2500,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,78,0,0,,כן,מוצר,,
"מרק פטריות תלמה 1 ק״ג 1/9",50412,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",37,0,0,,כן,מוצר,,
"קטשופ מנות אישיות 9*996",7290116530819,996,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",129.89,0,0,,כן,מוצר,,
"תרכיז לימונדה 2 ליטר - פריניב",10591,2,ליטר,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",25.4,0,0,0,כן,מוצר,,
"מיץ לימון 100% טבעי 2 ליטר פר",10592,2,ליטר,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",23.7,0,0,0,כן,מוצר,,
"חמוציות חתוך 2 ק״ג",14094,2,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",55,0,0,,כן,מוצר,,
"חומץ סינטטי 4 ליטר 4 קרטון",7290000507958,4,ליטר,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",8,0,0,,כן,מוצר,,
"אננס שלם 820 גרם",46101,820,גרם,לא,,,1,"יבשים וקונדיטוריה","בני מאלק סוידאן בעמ",7.3,0,0,,כן,מוצר,,
"ג'אמפ לימונענע 330 בק' 24 יח",3005823,6,יחידות,כן,מארז,חבילות,4,"משקאות קלים",טמפו,83.36,0,0,,כן,"מארז + יחידת מידה במארז",7290000336251,
"ג'אמפ רימונדה 330 בק' 24 יח",3005825,6,יחידות,כן,מארז,חבילות,4,"משקאות קלים",טמפו,83.36,0,0,,כן,"מארז + יחידת מידה במארז",7290000336305,
"סלמון נורווגי קפוא מנות יח 180-200 גר5.7 ק״ג בקרטון",5744000648927,1,"ק""ג",לא,,,1,קפואים,"מיגם יבוא בעמ",59,0,0,,כן,מוצר,,
"כורכום טחון 1 ק״ג",100133,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",23.73,0,0,,כן,מוצר,,
"רביולי 4 גבינות - די׳אורו",7290010778188,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",47.86,0,0,,כן,ללא,,
"רוטב צ׳ילי מתוק -4 ליטר (שמש)",30072,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",36.5,0,0,,כן,ללא,,
"חומץ חומצה אצטית מדוללת",7290011556112,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",6.29,0,0,0,כן,ללא,,
"כמון טחון 1 ק״ג",7290011964108,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",49.99,0,0,0,כן,ללא,,
"אורגנו 1 קג",7290015543033,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",16.9,0,0,,כן,ללא,,
"פפריקה מתוקה 1 קג",7290015543385,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",12,0,0,0,כן,ללא,,
"סומק טחון 1 קג",7290015553094,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",18.5,0,0,0,כן,ללא,,
"מיונז אמיגה 5 ק״ג",7290018710159,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",47.89,0,0,0,כן,ללא,,
"פנקו פרורי לחם לבנים 1 ק",7290019304586,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",9.89,0,0,,כן,ללא,,
"קינואה אדומה 5 ק״ג",7290019659792,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",74.75,0,0,0,כן,ללא,,
"צנובר פסח ב.יוסף לל״ח",7290121621137,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",99,0,0,0,כן,ללא,,
"פיצפוצי אורז תפוח 450 גר",7297488199590,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",16.5,0,0,0,כן,ללא,,
"קטשופ היינץ וולפק כשל״פ",8410066138821,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",165,0,0,0,כן,ללא,,
"רוטב בוב הולנדי 4.95 ק״ג",8718182023275,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",59.89,0,0,0,כן,ללא,,
"משטח שופרסל עסקים",9827,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",0.01,0,0,0,כן,ללא,,
"פלפל לבן טחון צנצנת 1 ק״ג",4805296,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",66,0,0,0,כן,ללא,,
"פלפל שחור טחון צנצנת 1 ק",811250030194,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",62.5,0,0,0,כן,ללא,,
"פירורי לחם מוזהבים שק10ק",7290015543859,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",63.5,0,0,0,כן,ללא,,
"גלגולי פירה 2 ק״ג",7290018198452,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",43,0,0,0,כן,ללא,,
"שמנת מתוקה 4 ליטר 42 % מהדרין",04121907,4,ליטר,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",105,0,0,,כן,שקיל,,
"מנה אישית - קטשופ * 900 יחידות",81005033,900,יחידות,לא,,,,קפואים,"קפוא זן",120,0,0,,כן,מוצר,,
מרגז,21,1,"ק""ג",לא,,,,בשר,"מ.ד מעדני בשר",47,0,0,,כן,מוצר,,
"סטק אנגוס מיושן",19,1,"ק""ג",לא,,,,בשר,"מ.ד מעדני בשר",55,0,0,,כן,מוצר,,
"אסאדו עגל מפורק",914,1,"ק""ג",לא,,,,בשר,"ע.ס בשר מסעדות (2015) בע״מ",49,0,0,,כן,מוצר,,
"אנטרקוט סליסים",328,1,"ק""ג",לא,,,,בשר,"ע.ס בשר מסעדות (2015) בע״מ",60,0,0,,כן,מוצר,,
"גלידה וניל אוראו 5 ליטר",55,5,ליטר,לא,,,,קפואים,עבודי,80,0,0,,כן,מוצר,,
"גלידה וניל וינצי(בדץ) 5 ליטר",79,5,ליטר,לא,,,,קפואים,עבודי,80,0,0,,כן,מוצר,,
"פיסטוק גרוס קלוי אלמנדוס 1 ק״ג",11320,1,"ק""ג",לא,,,,קפואים,עבודי,120,0,0,,כן,מוצר,,
"טופינג (רוטב) פירות יער ג׳ובאני בדץ",922,1,"ק""ג",לא,,,,קפואים,עבודי,43.63,0,0,,כן,מוצר,,
"מנה אישית - מיונז * 900 יחידות",81005035,900,יחידות,לא,,,,קפואים,"קפוא זן",189.5,0,0,,כן,מוצר,,
"קטשופ היינץ וולפק כשל״פ",841006613882,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",165,0,0,0,כן,ללא,,
"קטשופ היינץ 700 גרם",871570041973,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",11.5,0,0,0,כן,ללא,,
"ממרח היינץ מיכל לחיץ 395ג",871570042247,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",10.89,0,0,,כן,מוצר,,
"רוטב בוב הולנדי 4.95 ק״ג",87181820232,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",59.89,0,0,0,כן,ללא,,
"משטח שופרסל עסקים",98,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",0.01,0,0,,כן,ללא,,
"פטרוזיליה קצוצה",,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","פירות וירקות ח׳טיב",23,0,0,,לא,מוצר,,
"מיכל פפ מלבני 1 ליטר 135 יח",753101,135,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,90,0,0,0,כן,מוצר,,
"הוט דוק",10077,1,יחידות,לא,,,1,"לחמניות ולחמים","רייף בייקרי",1.8,0,0,0,כן,מוצר,,
"כרמלים לליק חסה יח",43246,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","עונות ישראל",10,0,0,0,כן,ללא,,
"פפסי 330 פחית צרה שישייה ח",7014076,6,יחידות,כן,מארז,יחידות,4,"משקאות קלים",טמפו,49.8,0,0,0,כן,"מארז + יחידת מידה במארז",7290000327020,
"מנקה חלונות סיליקון 1 ליטר, 10 יח׳",6008040,10,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,55,0,0,,כן,ללא,,
"מכסה פלסטיק לגביע 1.5-2.5oz, א-2000 יח׳",003674,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,75,0,0,0,כן,ללא,,
"גביע 1.5oz PP שחור, 2000 יח׳",003685,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,85,0,0,0,כן,ללא,,
"קש עבה 8 מ״מ שחור עטוף, 500 יח׳",078513,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,23,0,0,0,כן,ללא,,
"מכסה PP לקערת נייר קראפט 1100/1300 מ""ל, 300 יח'",000961,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,115,0,0,0,כן,ללא,,
"קערת נייר קראפט 1100 מ״ל, קוטר 185 מ״מ, 300 יח'",000959,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,152,0,0,0,כן,ללא,,
"ממרקות ברזל ענק 50 גרם, 12 יח׳",769604,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,22,0,0,0,כן,ללא,,
"דלי מטליות לחות לניקוי כללי, 400 יח׳",007489,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,17,0,0,0,כן,ללא,,
"אשפתון עבה 75/90 LD שחור (25 יח בגליל) , 500 יח׳",007291,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,155.01,0,0,0,כן,ללא,,
"נייר תעשייתי דו שכבתי 5 ק״ג ללא פרפורציה",803601,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,72,0,0,0,כן,ללא,,
"סליק קוקה קולה 330 מ״ל מבצע",30211,330,"מ""ל",כן,מארז,פחיות,24,"משקאות קלים","החברה המרכזית למשקאות בעמ",64.87,0,0,0,כן,"מארז + יחידת מידה במארז",7290011017866,
"סליק פאנטה אורנג׳ 330 מ״ל מבצע",30215,1,יחידות,כן,מארז,יחידות,24,"משקאות קלים","החברה המרכזית למשקאות בעמ",64.87,15,6.1,0,כן,"מארז + יחידת מידה במארז",7290011018443,
"לונג בוקס",121212,1,יחידות,לא,,,,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",5.8,0,0,,כן,מוצר,,
פטריות,62,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",25,0,0,0,כן,ללא,,
"מלפפון חממה",1,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",8,0,0,0,לא,ללא,,
כרובית,14,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",55,0,0,0,כן,ללא,,
עגבניות,96,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",8,0,0,0,כן,ללא,,
סלק,01,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",8.475,0,0,0,כן,ללא,,
נענע,77,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",45,0,0,0,כן,ללא,,
חריף,18,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",10,0,0,0,כן,ללא,,
"מארז בורגר קריספי 5*240",729000866899,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.8,0,0,0,כן,מוצר,,
"שקית מנה פרגמנט 3*1000",35409,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.12,0,0,0,כן,מוצר,,
"מארז תוספות 240*5 CRISPYTHE X",000720035366,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.73,0,0,0,כן,מוצר,,
"שקית רוטבים 7*17 ס״מ 40 ג'ר CRISPY/THEX",000722235363,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",31,0,0,0,כן,מוצר,,
"מגבון לח קריספי 5*1000",000720001110,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.103,0,0,0,כן,מוצר,,
"מארז קרטון שני מקום עם חלון CRICPY&THE X",35426,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",5.8,0,0,0,כן,מוצר,,
"פפסי 1.5 שישייה +",3005880,1.5,ליטר,כן,מארז,בקבוקים,6,"משקאות קלים",טמפו,26.4,0,0,0,כן,"מארז + יחידת מידה במארז",7290000136769,
"קולה ZERO שישיות 1.5 ליטר",33434,1,יחידות,כן,ארגז,בקבוקים,6,"משקאות קלים","החברה המרכזית למשקאות בעמ",39.14,0,0,0,כן,"מארז + יחידת מידה במארז",7290110115418,
"משטח שופרסל עסקים",900001,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",0.01,0,0,0,כן,ללא,,
"כמון טחון 1 קג",3093694,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",20.55,0,0,0,כן,ללא,,
"שמן חמניות 5 ליטר",4607014783071,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",31.89,0,0,0,כן,מוצר,,
"קינואה אדומה 5 ק״ג",7290019216605,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",74,0,0,0,כן,ללא,,
"חרדל צהוב גלון 3.79 ק״ג",70080780116,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",42.16,0,0,,כן,ללא,,
"שמן חמניות 5 ליטר",4607014783071,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",31.89,0,0,0,כן,ללא,,
"אבקת מרק. דגש תיבולפטריות",7290100249703,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",35.75,0,0,0,כן,ללא,,
"כרוב לבן",10,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",4.5,0,0,0,כן,ללא,,
חסה,68,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",5.5,0,0,0,כן,ללא,,
"פלפל צהוב",16,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",10,0,0,0,כן,ללא,,
"שקית נייר 32*17*28.5 TAKE AWAY קריספי",729000866904,1,יחידות,כן,ארגז,יחידות,250,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",200,0,0,,כן,מוצר,,
"קופסת סלט 32 אוז עם מכסה לחם 200*2יח CRI",35429,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",1.2,0,0,0,כן,מוצר,,
"נייר עטיפה 67 ג'ר 30*40 משולב אלומיניום",729000866895,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",50,0,0,0,כן,מוצר,,
"נייר עטיפה 40 גיר 30 grease proof brown'",729000866898,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",31,0,0,0,כן,מוצר,,
"נייר מגש 20*30 40 ג'ר קריספי 2*10",729000866909,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",31,0,0,0,כן,מוצר,,
"בורגול גס 5 ק״ג - שוקחה",1509203,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",25.64,0,0,0,כן,ללא,,
"פנקו פרורי לחם לבנים 1 ק״ג (גוא",17210,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",17,0,0,0,כן,ללא,,
"תירס A2 - עדן",7290010962082,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",5.93,0,0,0,כן,ללא,,
"שמנת להקצפה 33% 5 ליטר - מיגם",5903006000492,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",102,0,0,0,כן,ללא,,
"פפסי 330 בקבוק 24 יח׳+",3005883,330,"מ""ל",כן,מארז,יחידות,24,"משקאות קלים",טמפו,64.3,0,0,0,כן,"מארז + יחידת מידה במארז",7290006764003,
"בצל סגול",94,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",3.5,0,0,0,כן,ללא,,
"עגבניות שרי",28,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",16,0,0,0,כן,ללא,,
"דגש- פצפוצי אורז 450ג׳",7297488199590,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",17.5,0,0,0,כן,ללא,,
"פנקו סומימוטו קלאסי 1 ק״ג",2513551,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",14,0,0,0,כן,ללא,,
"פלפל לבן טחון 1 ק״ג -נווה",1001594,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",67.8,0,0,0,כן,ללא,,
"פפריקה מתוקה מעושנת 1 ק״ג - נו",100179,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",37,0,0,0,כן,ללא,,
"בורגול דק 5 ק״ג - שוקחה",1509201,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",26,0,0,0,כן,ללא,,
"אלף האיים מנות הלמנס 900 יחידות",7290116534404,1,יחידות,לא,,,1,"חומרי ניקוי","מנטור פוד בעמ",188,0,0,0,כן,ללא,,
"מלח שולחן 1קג מעולה (12 יח׳)",10559,1,יחידות,לא,,,1,"חומרי ניקוי","מנטור פוד בעמ",20,0,0,0,כן,ללא,,
"גרעיני תירס לייט מתוק 12 OZ יכי",110014611,1,יחידות,לא,,,1,"חומרי ניקוי","מנטור פוד בעמ",4.67,0,0,0,כן,ללא,,
"אננס שלם 800 גרם שוקחה",7290008969840,800,גרם,כן,מארז,יחידות,1,"חומרי ניקוי","מנטור פוד בעמ",7.5,0,0,,כן,מארז,,
"שמנת להקצפה 5 ליטר OLYMPIA",7135,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",119,0,0,,כן,ללא,,
"מיונז לחיץ 395 מ״ל היינץ",20151,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",14.12,0,0,,כן,מוצר,,
"גרעיני תירס לייט מתוק A2 יכין",110012611,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",5.93,0,0,,כן,ללא,,
"גרעיני תירס מתוק OZ12 יכין",110004611,1,יחידות,לא,,,1,"חומרי ניקוי","מנטור פוד בעמ",4.66,0,0,,כן,ללא,,
"ארטישוק מתובל 2.4 ק״ג",53010,1,יחידות,לא,,,1,"חומרי ניקוי","מנטור פוד בעמ",66,0,0,,כן,ללא,,
"מיונז פרימיום 70% 5 ק״ג -מנטור",5901044036282,1,יחידות,לא,,,1,"חומרי ניקוי","מנטור פוד בעמ",58,0,0,,כן,ללא,,
"פרגפלסט - דפי ניילון להפרדה, 1 חב",007181,1,יחידות,לא,,,1,"חומרי ניקוי",סילקו,16,0,0,0,כן,ללא,,
"מזלגון עץ 9 ס״מ, 100 יח׳",007858,1,יחידות,לא,,,1,"חומרי ניקוי",סילקו,2.5,0,0,0,כן,ללא,,
"מלח גבישי 25 ק״ג למדיח",006080,1,יחידות,לא,,,1,"חומרי ניקוי",סילקו,32,0,0,0,כן,ללא,,
"מכסה פ.פ למיכל מלבני 0.75-2 ליטר, 405 יח׳",007533,1,יחידות,לא,,,1,"חומרי ניקוי",סילקו,164.99,0,0,0,כן,ללא,,
"כנפיים עוף קפוא",9,1,"ק""ג",לא,,,1,בשר,"מ.ד מעדני בשר",12,0,0,,כן,שקיל,,
"שניצל פרוס קפוא",6,1,"ק""ג",לא,,,1,בשר,"מ.ד מעדני בשר",29,0,0,,כן,שקיל,,
"פלדלפיה 1 ק״ג - ר.ס",261733,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",21.37,0,0,0,כן,ללא,,
"חמוציות חתוך שקיל -",12361,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",25.42,0,0,0,כן,ללא,,
"שמן חמניות 5 ליטר",4699305475475,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",30,0,0,,כן,ללא,,
"ציפוטלה חריף ורוטב עגבניות 2.8",41003,2.8,"ק""ג",כן,מארז,יחידות,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",62,0,0,,כן,מוצר,,
"רכז רימונים 4 ליטר BURCU",22892,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",75,0,0,0,כן,ללא,,
"סט סכו״ם 6 חלקים - פלסטיק 1*350",35418,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.65,0,0,0,כן,מוצר,,
"אבקת סוכר 1 ק״ג",7290001050064,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",8,0,0,,כן,ללא,,
"אורגנו 1 ק״ג",877300005925,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",25,0,0,,כן,ללא,,
"פצפוצי אורז",7290008989169,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",16,0,0,,כן,ללא,,
"חרדל דיג׳ון",7290003054350,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",58,0,0,,כן,ללא,,
"טחינה 3 ק״ג",6253017300302,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",49,0,0,,כן,ללא,,
"טמפורה 1 ק״ג",7290019304616,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",10.5,0,0,,כן,ללא,,
"קמון טחון",877300005284,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",26.8,0,0,,כן,ללא,,
"מיונז איכותי",07983667801,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",55,0,0,0,כן,ללא,,
"מיונז מיטב דלי",7290002781165,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","מ.ס שיווק מזון בע״מ",45,0,0,,כן,ללא,,
