"שם מוצר","מק""ט",כמות,"יחידת מידה","האם מגיע במארז","צורת מארז","יחידת מידה במארז","מספר פריטים במארז",קטגוריה,ספק,"מחיר מחירון","אחוז הנחה",פיקדון,מיסים,"מוצר חייב במע""מ","צורת ספירת מלאי","ברקוד יצרן","הגבלת כמות להזמנה"
"תיקון אייפד/אייפון",999,1,יחידות,לא,,,1,"שירותי מחשב ותוכנה","זן פון",1538.46,0,0,0,כן,מוצר,,
"עגבניות שרי מנמר",40283,1,"ק""ג",לא,,,1,"ירקות פירות ועשבי תיבול","עונות ישראל",17.9,0,0,0,לא,מוצר,,
"רוטב ברביקיו 5.7 ק""ג",10393,5.7,"ק""ג",כן,מארז,יחידות,1,רטבים,"מנטור פוד בעמ",70,0,0,,כן,מארז,,
"מרסק ירק 37 נרו",1450370,1,יחידות,לא,,,1,"אביזרים וכלים למסעדה","שרותי ארגל",1641.55,0,0,0,כן,מוצר,,
"תבנית פוליפרופילן",1182552,1,יחידות,לא,,,1,"אביזרים וכלים למסעדה","שרותי ארגל",41.9,0,0,0,כן,מוצר,,
"מטחנת מלח פלפל 50 ס""מ",2521165,1,יחידות,לא,,,1,"אביזרים וכלים למסעדה","שרותי ארגל",330.86,0,0,0,כן,מוצר,,
חרקן,999,1,יחידות,לא,,,1,כללי,"בקרה והדברת מזיקים",650,0,0,0,כן,מוצר,,
"סודה ביטר למון  בקבוק",3005028,275,"מ""ל",כן,קרטון,בקבוקים,24,"משקאות קלים",טמפו,94.43,17,6.15,,כן,"מארז + יחידת מידה במארז",7290008464628,
"משטח טמפו חדש",1006034,1,יחידות,כן,מארז,יחידות,1,"משקאות קלים",טמפו,33.5,0,0,,כן,"מארז + יחידת מידה במארז",7290011133900,
"אחסון אתרים קריספי",99,1,יחידות,לא,,,1,"שירותי מחשב ותוכנה","דוד חליבה  תקשורת חזותית בע""מ",239.316,0,0,0,כן,מוצר,,
"שכירות מכשיר בישום",999,1,יחידות,לא,,,1,"אביזרים וכלים למסעדה","ויב בשמים",1100,0,0,0,כן,מוצר,,
"תפריט וכללי",999,1,יחידות,לא,,,1,תפריטים,"דפוס השלום",1348.72,0,0,0,כן,מוצר,,
"חומץ תפוחי עץ 750 מ""ל",9008700226950,1,יחידות,כן,מארז,יחידות,6,"חומרי גלם לבישול","שופרסל אמיגה",59.34,0,0,,כן,מארז,,
"סלט שום כתוש 3 ק""ג",2125060,1,"ק""ג",לא,,,1,"חומרי גלם לבישול","מנטור פוד בעמ",28.5,-46.95,0,,כן,מוצר,,
"נביעות  פ.שטוח - 0.5 ליטר",10600,500,"מ""ל",כן,קרטון,בקבוקים,24,"משקאות קלים","החברה המרכזית למשקאות בעמ",59.99,0,6.1,,כן,"מארז + יחידת מידה במארז",7290002331018,
"קוקה קולה - 0.5 ליטר",10021,500,"מ""ל",כן,ארגז,בקבוקים,24,"משקאות קלים","החברה המרכזית למשקאות בעמ",93.99,0,0,,כן,"מארז + יחידת מידה במארז",7290001594155,
"מברשת פלדה דו צדדית",0625,1,יחידות,לא,,,1,"אביזרים וכלים למסעדה","שרותי ארגל",335.043,0,0,0,כן,מוצר,,
"הנהלת חשבונות",999,1,יחידות,לא,,,1,"הוצאות רוח והנהח","מוחמד מדלג",80,0,0,0,כן,מוצר,,
דלק,999,1,יחידות,לא,,,1,כללי,"דלק ישראל",8494.72,0,0,0,כן,מוצר,,
עיצובים,99,1,יחידות,לא,,,1,כללי,"גאד עסקים בע""מ",4500,0,0,0,כן,מוצר,,
"מגבת סלים רול 110 מטר בגליל",802300,1,יחידות,לא,,,1,"חומרי ניקוי",סילקו,98,0,0,,כן,מוצר,,
803601,"נייר תעשייתי דו שכבתי 5 ק""ג",5,"ק""ג",לא,,,1,"חומרי ניקוי",סילקו,69.84,0,0,,כן,מוצר,,
"מפיות נייר 3*2400",000722221111,48,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",170,0,0,,כן,שקיל,,
"מארז תוספות 240*2",720035366,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.61,0,0,,כן,מוצר,,
טימין,1111,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","י.ס פירות וירקות",5,0,0,,לא,מוצר,,
קניות,999,1,יחידות,לא,,,1,"יבשים וקונדיטוריה","כבהא סעיד",569,0,0,,כן,מוצר,,
"שקיות נייר 250*3 take away",720035336,1,יחידות,לא,,,,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.8,0,0,,כן,מוצר,,
